Country_ISO,Pays_FR,Country_EN,Region_FR,Region_EN,Ville_FR,City_EN,Population_Estimee_Ville
GN,Guinee,Guinea,Faranah,Faranah,Kissidougou,Kissidougou,100000
GN,Guinee,Guinea,Labe,Labe,Labe,Labe,93000
GN,Guinee,Guinea,Boke,Boke,Kamsar,Kamsar,83000
GN,Guinee,Guinea,Mamou,Mamou,Mamou,Mamou,68000
GN,Guinee,Guinea,Faranah,Faranah,Faranah,Faranah,60000
GW,Guinee-Bissau,Guinea-Bissau,Bissau,Bissau,Bissau (capitale),Bissau (capital),500000
GW,Guinee-Bissau,Guinea-Bissau,Bafata,Bafata,Bafata,Bafata,30000
GW,Guinee-Bissau,Guinea-Bissau,Gabu,Gabu,Gabu,Gabu,44000
GW,Guinee-Bissau,Guinea-Bissau,Cacheu,Cacheu,Canchungo,Canchungo,12000
GW,Guinee-Bissau,Guinea-Bissau,Oio,Oio,Bissora,Bissora,10000
GW,Guinee-Bissau,Guinea-Bissau,Oio,Oio,Farim,Farim,9000
GW,Guinee-Bissau,Guinea-Bissau,Oio,Oio,Mansoa,Mansoa,8000
GW,Guinee-Bissau,Guinea-Bissau,Quinara,Quinara,Buba,Buba,8000
GW,Guinee-Bissau,Guinea-Bissau,Cacheu,Cacheu,Cacheu,Cacheu,6000
GW,Guinee-Bissau,Guinea-Bissau,Biombo,Biombo,Quinhamel,Quinhamel,6000
LR,Liberia,Liberia,Montserrado,Montserrado,Monrovia (capitale),Monrovia (capital),1500000
LR,Liberia,Liberia,Nimba,Nimba,Ganta,Ganta,50000
LR,Liberia,Liberia,Bong,Bong,Gbarnga,Gbarnga,57000
LR,Liberia,Liberia,Margibi,Margibi,Kakata,Kakata,50000
LR,Liberia,Liberia,Grand Bassa,Grand Bassa,Buchanan,Buchanan,45000
LR,Liberia,Liberia,Lofa,Lofa,Voinjama,Voinjama,38000
LR,Liberia,Liberia,Grand Gedeh,Grand Gedeh,Zwedru,Zwedru,30000
LR,Liberia,Liberia,Maryland,Maryland,Harper,Harper,30000
LR,Liberia,Liberia,Montserrado,Montserrado,Bensonville,Bensonville,25000
LR,Liberia,Liberia,Grand Cape Mount,Grand Cape Mount,Robertsport,Robertsport,10000
ML,Mali,Mali,District de Bamako,Bamako District,Bamako (capitale),Bamako (capital),2700000
ML,Mali,Mali,Sikasso,Sikasso,Sikasso,Sikasso,230000
ML,Mali,Mali,Segou,Segou,Segou,Segou,140000
ML,Mali,Mali,Koulikoro,Koulikoro,Kalabancoro,Kalabancoro,167000
ML,Mali,Mali,Sikasso,Sikasso,Koutiala,Koutiala,138000
ML,Mali,Mali,Kayes,Kayes,Kayes,Kayes,127000
ML,Mali,Mali,Koulikoro,Koulikoro,Kati,Kati,115000
ML,Mali,Mali,Mopti,Mopti,Mopti,Mopti,114000
ML,Mali,Mali,Gao,Gao,Gao,Gao,86000
ML,Mali,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,55000
NE,Niger,Niger,Niamey,Niamey,Niamey (capitale),Niamey (capital),1500000
NE,Niger,Niger,Zinder,Zinder,Zinder,Zinder,500000
NE,Niger,Niger,Maradi,Maradi,Maradi,Maradi,460000
NE,Niger,Niger,Tahoua,Tahoua,Tahoua,Tahoua,150000
NE,Niger,Niger,Agadez,Agadez,Agadez,Agadez,120000
NE,Niger,Niger,Agadez,Agadez,Arlit,Arlit,80000
NE,Niger,Niger,Dosso,Dosso,Dosso,Dosso,75000
NE,Niger,Niger,Tahoua,Tahoua,Birni-N'Konni,Birni-N'Konni,70000
NE,Niger,Niger,Diffa,Diffa,Diffa,Diffa,60000
NE,Niger,Niger,Dosso,Dosso,Gaya,Gaya,40000
NE,Niger,Niger,Tillaberi,Tillaberi,Tillaberi,Tillaberi,30000
NG,Nigeria,Nigeria,Lagos,Lagos,Lagos,Lagos,9000000
NG,Nigeria,Nigeria,Territoire de la Capitale Federale,Federal Capital Territory,Abuja (capitale),Abuja (capital),3600000
NG,Nigeria,Nigeria,Kano,Kano,Kano,Kano,4000000
NG,Nigeria,Nigeria,Rivers,Rivers,Port Harcourt,Port Harcourt,1900000
NG,Nigeria,Nigeria,Oyo,Oyo,Ibadan,Ibadan,3600000
NG,Nigeria,Nigeria,Kaduna,Kaduna,Kaduna,Kaduna,1850000
NG,Nigeria,Nigeria,Edo,Edo,Benin City,Benin City,1300000
NG,Nigeria,Nigeria,Borno,Borno,Maiduguri,Maiduguri,1100000
NG,Nigeria,Nigeria,Kwara,Kwara,Ilorin,Ilorin,1080000
NG,Nigeria,Nigeria,Sokoto,Sokoto,Sokoto,Sokoto,1040000
NG,Nigeria,Nigeria,Plateau,Plateau,Jos,Jos,1040000
NG,Nigeria,Nigeria,Kaduna,Kaduna,Zaria,Zaria,980000
NG,Nigeria,Nigeria,Enugu,Enugu,Enugu,Enugu,950000
NG,Nigeria,Nigeria,Delta,Delta,Warri,Warri,910000
NG,Nigeria,Nigeria,Anambra,Anambra,Onitsha,Onitsha,750000
SN,Senegal,Senegal,Dakar,Dakar,Dakar (capitale),Dakar (capital),1998000
SN,Senegal,Senegal,Thies,Thies,Thies,Thies,240000
SN,Senegal,Senegal,Diourbel,Diourbel,Touba,Touba,1000000
SN,Senegal,Senegal,Dakar,Dakar,Rufisque,Rufisque,187000
SN,Senegal,Senegal,Kaolack,Kaolack,Kaolack,Kaolack,174000
SN,Senegal,Senegal,Thies,Thies,Mbour,M'Bour,171000
SN,Senegal,Senegal,Ziguinchor,Ziguinchor,Ziguinchor,Ziguinchor,162000
SN,Senegal,Senegal,Saint-Louis,Saint-Louis,Saint-Louis,Saint-Louis,131000
SN,Senegal,Senegal,Diourbel,Diourbel,Diourbel,Diourbel,94000
SN,Senegal,Senegal,Louga,Louga,Louga,Louga,78000
SN,Senegal,Senegal,Tambacounda,Tambacounda,Tambacounda,Tambacounda,75000
SN,Senegal,Senegal,Kolda,Kolda,Kolda,Kolda,58000
SN,Senegal,Senegal,Diourbel,Diourbel,Mbacke,Mbacke,57000
SL,Sierra Leone,Sierra Leone,Western Area,Western Area,Freetown (capitale),Freetown (capital),1200000
SL,Sierra Leone,Sierra Leone,Sud,Southern,Bo,Bo,175000
SL,Sierra Leone,Sierra Leone,Est,Eastern,Kenema,Kenema,200000
SL,Sierra Leone,Sierra Leone,Nord,Northern,Makeni,Makeni,130000
SL,Sierra Leone,Sierra Leone,Est,Eastern,Koidu,Koidu,130000
SL,Sierra Leone,Sierra Leone,Nord-Ouest,North West,Port Loko,Port Loko,35000
SL,Sierra Leone,Sierra Leone,Western Area,Western Area,Waterloo,Waterloo,50000
SL,Sierra Leone,Sierra Leone,Nord-Ouest,North West,Lunsar,Lunsar,40000
SL,Sierra Leone,Sierra Leone,Nord,Northern,Kabala,Kabala,15000
SL,Sierra Leone,Sierra Leone,Est,Eastern,Kailahun,Kailahun,13000
TG,Togo,Togo,Maritime,Maritime,Lome (capitale),Lome (capital),1800000
TG,Togo,Togo,Kara,Kara,Kara,Kara,120000
TG,Togo,Togo,Centrale,Centrale,Sokode,Sokode,190000
TG,Togo,Togo,Plateaux,Plateaux,Kpalime,Kpalime,75000
TG,Togo,Togo,Plateaux,Plateaux,Atakpame,Atakpame,80000
TG,Togo,Togo,Savanes,Savanes,Dapaong,Dapaong,58000
TG,Togo,Togo,Maritime,Maritime,Tsevie,Tsevie,40000
TG,Togo,Togo,Maritime,Maritime,Aneho,Aneho,30000
TG,Togo,Togo,Kara,Kara,Bassar,Bassar,20000
TG,Togo,Togo,Savanes,Savanes,Mango,Mango,30000
AO,Angola,Angola,Luanda,Luanda,Luanda (capitale),Luanda (capital),2800000
AO,Angola,Angola,Huambo,Huambo,Huambo,Huambo,800000
AO,Angola,Angola,Cabinda,Cabinda,Cabinda,Cabinda,378000
AO,Angola,Angola,Benguela,Benguela,Lobito,Lobito,324000
AO,Angola,Angola,Benguela,Benguela,Benguela,Benguela,555000
AO,Angola,Angola,Huila,Huila,Lubango,Lubango,500000
AO,Angola,Angola,Malanje,Malanje,Malanje,Malanje,200000
AO,Angola,Angola,Bie,Bie,Kuito,Kuito,200000
AO,Angola,Angola,Uige,Uige,Uige,Uige,300000
AO,Angola,Angola,Zaire,Zaire,Soyo,Soyo,150000
AO,Angola,Angola,Namibe,Namibe,Namibe,Namibe,200000
AO,Angola,Angola,Lunda Sul,Lunda Sul,Saurimo,Saurimo,150000
CM,Cameroun,Cameroon,Littoral,Littoral,Douala,Douala,2500000
CM,Cameroun,Cameroon,Centre,Centre,Yaounde (capitale),Yaounde (capital),2100000
CM,Cameroun,Cameroon,Nord,North,Garoua,Garoua,437000
CM,Cameroun,Cameroon,Extreme-Nord,Far North,Kousseri,Kousseri,436000
CM,Cameroun,Cameroon,Nord-Ouest,Northwest,Bamenda,Bamenda,394000
CM,Cameroun,Cameroon,Extreme-Nord,Far North,Maroua,Maroua,320000
CM,Cameroun,Cameroon,Ouest,West,Bafoussam,Bafoussam,291000
CM,Cameroun,Cameroon,Est,East,Bertoua,Bertoua,218000
CM,Cameroun,Cameroon,Littoral,Littoral,Edea,Edea,203000
CM,Cameroun,Cameroon,Littoral,Littoral,Loum,Loum,177000
CM,Cameroun,Cameroon,Sud-Ouest,Southwest,Kumba,Kumba,144000
CM,Cameroun,Cameroon,Ouest,West,Foumban,Foumban,93000
CM,Cameroun,Cameroon,Sud,South,Ebolowa,Ebolowa,88000
CF,Republique Centrafricaine,Central African Republic,Bangui,Bangui,Bangui (capitale),Bangui (capital),900000
CF,Republique Centrafricaine,Central African Republic,Ombella-M'Poko,Ombella-M'Poko,Bimbo,Bimbo,350000
CF,Republique Centrafricaine,Central African Republic,Mambere-Kadei,Mambere-Kadei,Berberati,Berberati,80000
CF,Republique Centrafricaine,Central African Republic,Mambere-Kadei,Mambere-Kadei,Carnot,Carnot,50000
CF,Republique Centrafricaine,Central African Republic,Ouaka,Ouaka,Bambari,Bambari,50000
CF,Republique Centrafricaine,Central African Republic,Nana-Mambere,Nana-Mambere,Bouar,Bouar,40000
CF,Republique Centrafricaine,Central African Republic,Ouham,Ouham,Bossangoa,Bossangoa,40000
CF,Republique Centrafricaine,Central African Republic,Haute-Kotto,Haute-Kotto,Bria,Bria,35000
CF,Republique Centrafricaine,Central African Republic,Nana-Grebizi,Nana-Grebizi,Kaga-Bandoro,Kaga-Bandoro,20000
TD,Tchad,Chad,N'Djamena,N'Djamena,N'Djamena (capitale),N'Djamena (capital),1500000
TD,Tchad,Chad,Logone Occidental,Logone Occidental,Moundou,Moundou,180000
TD,Tchad,Chad,Moyen-Chari,Moyen-Chari,Sarh,Sarh,170000
TD,Tchad,Chad,Ouaddai,Ouaddai,Abeche,Abeche,107000
TD,Tchad,Chad,Tandjile,Tandjile,Kelo,Kelo,103000
TD,Tchad,Chad,Mandoul,Mandoul,Koumra,Koumra,91000
TD,Tchad,Chad,Mayo-Kebbi Ouest,Mayo-Kebbi West,Pala,Pala,90000
TD,Tchad,Chad,Salamat,Salamat,Am Timan,Am Timan,66000
TD,Tchad,Chad,Mayo-Kebbi Est,Mayo-Kebbi East,Bongor,Bongor,64000
TD,Tchad,Chad,Guera,Guera,Mongo,Mongo,58000
TD,Tchad,Chad,Logone Oriental,Logone Oriental,Doba,Doba,52000
TD,Tchad,Chad,Borkou,Borkou,Faya-Largeau,Faya-Largeau,42000
CG,Congo,Republic of the Congo,Brazzaville,Brazzaville,Brazzaville (capitale),Brazzaville (capital),1800000
CG,Congo,Republic of the Congo,Pointe-Noire,Pointe-Noire,Pointe-Noire,Pointe-Noire,715000
CG,Congo,Republic of the Congo,Niari,Niari,Dolisie,Dolisie,110000
CG,Congo,Republic of the Congo,Bouenza,Bouenza,Nkayi,Nkayi,70000
CG,Congo,Republic of the Congo,Sangha,Sangha,Ouesso,Ouesso,35000
CG,Congo,Republic of the Congo,Likouala,Likouala,Impfondo,Impfondo,30000
CG,Congo,Republic of the Congo,Bouenza,Bouenza,Madingou,Madingou,20000
CG,Congo,Republic of the Congo,Plateaux,Plateaux,Gamboma,Gamboma,20000
CG,Congo,Republic of the Congo,Lekoumou,Lekoumou,Sibiti,Sibiti,20000
CG,Congo,Republic of the Congo,Plateaux,Plateaux,Djambala,Djambala,15000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Kinshasa,Kinshasa,Kinshasa (capitale),Kinshasa (capital),17000000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Kasai-Oriental,Kasai-Oriental,Mbuji-Mayi,Mbuji-Mayi,3300000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Haut-Katanga,Haut-Katanga,Lubumbashi,Lubumbashi,3200000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Kasai-Central,Kasai-Central,Kananga,Kananga,1900000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Tshopo,Tshopo,Kisangani,Kisangani,1600000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Nord-Kivu,North Kivu,Goma,Goma,1500000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Sud-Kivu,South Kivu,Bukavu,Bukavu,1000000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Lualaba,Lualaba,Kolwezi,Kolwezi,800000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Haut-Katanga,Haut-Katanga,Likasi,Likasi,600000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Kasai,Kasai,Tshikapa,Tshikapa,600000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Kongo Central,Kongo Central,Matadi,Matadi,400000
CD,Republique Democratique du Congo,Democratic Republic of the Congo,Sud-Kivu,South Kivu,Uvira,Uvira,300000
GQ,Guinee Equatoriale,Equatorial Guinea,Bioko Norte,Bioko Norte,Malabo (capitale),Malabo (capital),156000
GQ,Guinee Equatoriale,Equatorial Guinea,Litoral,Litoral,Bata,Bata,173000
GQ,Guinee Equatoriale,Equatorial Guinea,Kie-Ntem,Kie-Ntem,Ebebiyin,Ebebiyin,25000
GQ,Guinee Equatoriale,Equatorial Guinea,Wele-Nzas,Wele-Nzas,Mongomo,Mongomo,53000
GQ,Guinee Equatoriale,Equatorial Guinea,Wele-Nzas,Wele-Nzas,Aconibe,Aconibe,11000
GQ,Guinee Equatoriale,Equatorial Guinea,Bioko Sur,Bioko Sur,Luba,Luba,9000
GQ,Guinee Equatoriale,Equatorial Guinea,Centro Sur,Centro Sur,Evinayong,Evinayong,8000
GA,Gabon,Gabon,Estuaire,Estuaire,Libreville (capitale),Libreville (capital),797000
GA,Gabon,Gabon,Ogooue-Maritime,Ogooue-Maritime,Port-Gentil,Port-Gentil,136000
GA,Gabon,Gabon,Haut-Ogooue,Haut-Ogooue,Franceville,Franceville,110000
GA,Gabon,Gabon,Woleu-Ntem,Woleu-Ntem,Oyem,Oyem,60000
GA,Gabon,Gabon,Haut-Ogooue,Haut-Ogooue,Moanda,Moanda,50000
GA,Gabon,Gabon,Moyen-Ogooue,Moyen-Ogooue,Lambarene,Lambarene,40000
GA,Gabon,Gabon,Nyanga,Nyanga,Tchibanga,Tchibanga,30000
GA,Gabon,Gabon,Ogooue-Ivindo,Ogooue-Ivindo,Makokou,Makokou,25000
GA,Gabon,Gabon,Ogooue-Lolo,Ogooue-Lolo,Koulamoutou,Koulamoutou,16000
ST,Sao Tome-et-Principe,Sao Tome and Principe,Agua Grande,Agua Grande,Sao Tome (capitale),Sao Tome (capital),72000
ST,Sao Tome-et-Principe,Sao Tome and Principe,Me-Zochi,Me-Zochi,Trindade,Trindade,15000
ST,Sao Tome-et-Principe,Sao Tome and Principe,Cantagalo,Cantagalo,Santana,Santana,8000
ST,Sao Tome-et-Principe,Sao Tome and Principe,Lemba,Lemba,Neves,Neves,8000
ST,Sao Tome-et-Principe,Sao Tome and Principe,Lobata,Lobata,Guadalupe,Guadalupe,8000
ST,Sao Tome-et-Principe,Sao Tome and Principe,Principe,Principe,Santo Antonio,Santo Antonio,8000
BJ,Benin,Benin,Collines,Collines,Dassa-Zoume,Dassa-Zoume,80000
BJ,Benin,Benin,Couffo,Couffo,Aplahoue,Aplahoue,30000
BF,Burkina Faso,Burkina Faso,Centre-Sud,Centre-Sud,Manga,Manga,30000
BF,Burkina Faso,Burkina Faso,Plateau-Central,Plateau-Central,Ziniare,Ziniare,25000
BF,Burkina Faso,Burkina Faso,Sud-Ouest,Sud-Ouest,Gaoua,Gaoua,30000
CV,Cap-Vert,Cabo Verde,Sao Nicolau,Sao Nicolau,Ribeira Brava,Ribeira Brava,5000
CV,Cap-Vert,Cabo Verde,Maio,Maio,Vila do Maio,Vila do Maio,5000
CV,Cap-Vert,Cabo Verde,Brava,Brava,Nova Sintra,Nova Sintra,3000
CI,Cote d'Ivoire,Ivory Coast,Agneby-Tiassa,Agneby-Tiassa,Agboville,Agboville,90000
CI,Cote d'Ivoire,Ivory Coast,Marahoue,Marahoue,Bouafle,Bouafle,80000
CI,Cote d'Ivoire,Ivory Coast,Indenie-Djuablin,Indenie-Djuablin,Abengourou,Abengourou,95000
CI,Cote d'Ivoire,Ivory Coast,Sud-Comoe,Sud-Comoe,Aboisso,Aboisso,85000
CI,Cote d'Ivoire,Ivory Coast,Worodougou,Worodougou,Seguela,Seguela,60000
CI,Cote d'Ivoire,Ivory Coast,Hambol,Hambol,Katiola,Katiola,70000
CI,Cote d'Ivoire,Ivory Coast,Guemon,Guemon,Duekoue,Duekoue,75000
CI,Cote d'Ivoire,Ivory Coast,La Me,La Me,Adzope,Adzope,65000
GM,Gambie,Gambia,Central River,Central River,Janjanbureh,Janjanbureh,5000
GH,Ghana,Ghana,Ahafo,Ahafo,Goaso,Goaso,35000
GH,Ghana,Ghana,Bono,Bono,Sunyani,Sunyani,130000
GH,Ghana,Ghana,Bono East,Bono East,Techiman,Techiman,110000
GH,Ghana,Ghana,North East,North East,Nalerigu,Nalerigu,15000
GH,Ghana,Ghana,Oti,Oti,Dambai,Dambai,10000
GH,Ghana,Ghana,Savannah,Savannah,Damongo,Damongo,35000
GH,Ghana,Ghana,Western North,Western North,Sefwi Wiawso,Sefwi Wiawso,50000
GN,Guinee,Guinea,Boke,Boke,Boke,Boke,60000
GN,Guinee,Guinea,Labe,Labe,Pita,Pita,40000
GW,Guinee-Bissau,Guinea-Bissau,Bolama,Bolama,Bolama,Bolama,10000
GW,Guinee-Bissau,Guinea-Bissau,Tombali,Tombali,Catio,Catio,30000
LR,Liberia,Liberia,Bomi,Bomi,Tubmanburg,Tubmanburg,25000
LR,Liberia,Liberia,Gbarpolu,Gbarpolu,Bopolu,Bopolu,10000
LR,Liberia,Liberia,Grand Kru,Grand Kru,Barclayville,Barclayville,10000
LR,Liberia,Liberia,River Cess,River Cess,Cestos City,Cestos City,10000
LR,Liberia,Liberia,River Gee,River Gee,Fish Town,Fish Town,10000
LR,Liberia,Liberia,Sinoe,Sinoe,Greenville,Greenville,20000
ML,Mali,Mali,Kidal,Kidal,Kidal,Kidal,30000
NE,Niger,Niger,Maradi,Maradi,Madarounfa,Madarounfa,30000
NE,Niger,Niger,Zinder,Zinder,Magaria,Magaria,40000
NG,Nigeria,Nigeria,Abia,Abia,Umuahia,Umuahia,400000
NG,Nigeria,Nigeria,Adamawa,Adamawa,Yola,Yola,400000
NG,Nigeria,Nigeria,Akwa Ibom,Akwa Ibom,Uyo,Uyo,500000
NG,Nigeria,Nigeria,Bauchi,Bauchi,Bauchi,Bauchi,700000
NG,Nigeria,Nigeria,Bayelsa,Bayelsa,Yenagoa,Yenagoa,500000
NG,Nigeria,Nigeria,Benue,Benue,Makurdi,Makurdi,500000
NG,Nigeria,Nigeria,Cross River,Cross River,Calabar,Calabar,600000
NG,Nigeria,Nigeria,Ebonyi,Ebonyi,Abakaliki,Abakaliki,400000
NG,Nigeria,Nigeria,Ekiti,Ekiti,Ado-Ekiti,Ado-Ekiti,500000
NG,Nigeria,Nigeria,Gombe,Gombe,Gombe,Gombe,500000
NG,Nigeria,Nigeria,Imo,Imo,Owerri,Owerri,900000
NG,Nigeria,Nigeria,Jigawa,Jigawa,Dutse,Dutse,250000
NG,Nigeria,Nigeria,Katsina,Katsina,Katsina,Katsina,500000
NG,Nigeria,Nigeria,Kebbi,Kebbi,Birnin Kebbi,Birnin Kebbi,150000
NG,Nigeria,Nigeria,Kogi,Kogi,Lokoja,Lokoja,250000
NG,Nigeria,Nigeria,Nasarawa,Nasarawa,Lafia,Lafia,350000
NG,Nigeria,Nigeria,Niger,Niger,Minna,Minna,450000
NG,Nigeria,Nigeria,Ogun,Ogun,Abeokuta,Abeokuta,600000
NG,Nigeria,Nigeria,Ondo,Ondo,Akure,Akure,500000
NG,Nigeria,Nigeria,Osun,Osun,Osogbo,Osogbo,350000
NG,Nigeria,Nigeria,Taraba,Taraba,Jalingo,Jalingo,150000
NG,Nigeria,Nigeria,Yobe,Yobe,Damaturu,Damaturu,150000
NG,Nigeria,Nigeria,Zamfara,Zamfara,Gusau,Gusau,450000
SN,Senegal,Senegal,Fatick,Fatick,Fatick,Fatick,30000
SN,Senegal,Senegal,Kaffrine,Kaffrine,Kaffrine,Kaffrine,40000
SN,Senegal,Senegal,Kedougou,Kedougou,Kedougou,Kedougou,25000
SN,Senegal,Senegal,Matam,Matam,Matam,Matam,25000
SN,Senegal,Senegal,Sedhiou,Sedhiou,Sedhiou,Sedhiou,30000
